what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176655743
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176658885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176658977
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176660635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176686809
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1325176689248
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1325176689399
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1325176689434
executed,command,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.properties.NewPropertySheetCommand",1325176689438
opened,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325176694541
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325176694557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176714857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176724324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1325176724404
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176733239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325176745841
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325176747513
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176748135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176749356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176753192
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325176764768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176764841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176766646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176769388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176775903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1325176775980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176779674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176833931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176835405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176856002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176866507
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325176901669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176901757
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176902946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176916244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176927061
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176928678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176933354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176934946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176942109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325176945107
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1325176946976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176947831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176949534
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325176952831
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325176952955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325176955156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325176965938
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176969731
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325176969740
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325176971396
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1325176971406
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325176972787
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325176973184
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325176973235
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1325176975747
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1325176979435
